Item,Link,Quantity,Cost USD,Cost NZD,Subtotal,Note
3D Printer Plastic,http://diamondage.co.nz/product/pla-standard-colours/,3,,49.95,149.85,"Colors: Diamond & Black & White, Diameter:3mm"
80mm PC Fan,http://www.computerlounge.co.nz/components/componentview.asp?partid=23603,10,,24.95,249.5,
"3D Printer, Ultimaker 2+",http://www.mindkits.co.nz/store/p/9386-Ultimaker-2.aspx,1,,"3,995.00",3995,
Raspberry Pi 3,"https://www.aliexpress.com/item/2016-New-Raspberry-Pi-3-Model-B-BCM2837-1-2G-with-WIFI-and-Bluetooth/32615114907.html?spm=2114.01010208.3.2.1GRPPM&ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10084_10083_10080_10082_10081_10060_10061_10062_10056_10055_10054_10059_10099_10078_10079_426_10073_10102_10096_10052_10050_425_10051,searchweb201603_8&btsid=f6b37da7-a945-41d1-b39c-d92aecad919f",100,36.99,52.1559,5215.59,
5v Power Supply Unit,"https://www.aliexpress.com/item/350W-5V-Single-Output-Switching-power-supply-for-LED-Strip-light-AC-to-DC/621198671.html?spm=2114.01010208.3.2.fEMA78&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10056_10068_10055_10054_10059_10099_10078_10079_10084_10083_10103_10073_10102_10080_10096_10082_10081_10060_10061_10052_10062_10050_10051,searchweb201603_6&btsid=a47a7f05-972b-451d-bc7b-29847a9125b7",4,17.8,25.098,100.392,
Sliding Shelf 1,https://www.elive.co.nz/dynamix-sliding-shelf-350mm-600mm-cd2402.php,2,,80.1,160.2,
Sliding Shelf 2,https://www.jaycar.co.nz/1u-ball-bearing-sliding-rack-shelf/p/HB5450,2,,119,238,
Soldering Iron,https://www.jaycar.co.nz/40w-temperature-controlled-soldering-station/p/TS1620,1,,71.9,71.9,
Ethernet Crimping Tool,https://www.jaycar.co.nz/6p-8p-modular-crimping-tool/p/TH1935,1,,24.9,24.9,
Cat 5 Punch Down Tool,https://www.jaycar.co.nz/cat-5-punch-down-tool-adjustable/p/TH1740,1,,27.9,27.9,
Multimeter,https://www.jaycar.co.nz/ip67-true-rms-autoranging-cat-iv-dmm-with-wireless-usb-interface/p/QM1571,1,,159,159,
RJ45 Jacks,https://www.jaycar.co.nz/rj45-8p-8c-for-stranded-cable-pk-10/p/PP1436,30,,9.9,297,
,,,,TOTAL:,10689.232,
